col1|col2|col3|col4|col5|col6|col7|col8|col9|col10|col11|col12|col13|col14|col15|col16|col17|col18|col19|col20|col21|col22|col23|col24|col25|col26|col27|col28
48|No|Rarely|Research & Development|100|3|Life Sciences|1|1867|4|Male|2|Research Director|2|19665|4|Y|12|2|4|80||29|3|3|22|12|9
47|No|Rarely|Human Resources|260|4|Life Sciences|1|1625|4|Female|3|Manager|3|19658|3|Y|11|3|3|80||27|2|3|5|1|0
182|No|Rarely|Human Resources|260|4|Human Resources|1|1973|3|Male|4|Manager|2|19636|4|Y|18|3|1|80||35|0|3|10|1|4
46|No|Rarely|Research & Development|10|4|Medical|1|1069|4|Male|3|Research Director|4|19627|9|Y|17|4|4|80||23|0|3|2|2|2
40|No|Rarely|Research & Development|140|3|Medical|1|1128|3|Male|2|Research Director|3|19626|1|Y|14|3|1|80||21|2|4|20|4|9
42|No|Rarely|Research & Development|90|2|Other|1|1595|4|Male|2|Manager|4|19613|8|Y|22|4|4|80||24|2|3|1|0|1
55|No|Rarely|Sales|260|5|Marketing|1|1578|3|Male|2|Manager|4|19586|1|Y|21|4|3|80||36|3|3|36|2|13
60|No|Rarely|Research & Development|70|3|Life Sciences|1|549|1|Female|3|Manager|1|19566|5|Y|11|3|4|80||33|5|1|29|11|10
41|Yes|Rarely|Research & Development|120|3|Technical Degree|1|58|2|Female|3|Research Director|3|19545|1|Y|12|3|4|80||23|0|3|22|15|8
51|No|Rarely|Research & Development|60|3|Life Sciences|1|162|1|Male|3|Research Director|3|19537|7|Y|13|3|3|80||23|5|3|20|15|15
50|No|Rarely|Sales|10|4|Medical|1|323|4|Female|3|Manager|4|19517|3|Y|11|3|3|80|||3|2|7|0|6
44|No|Rarely|Research & Development|30|4|Other|1|671|4|Male|3|Manager|4|19513|4|Y|12|3|1|80||26|2|4|2|0|1
49|No|Rarely|Research & Development|180|4|Life Sciences|1|638|4|Male|2|Research Director|3|19502|1|Y|17|3|3|80||31|5|3|31|0|9
40|No|Rarely|Research & Development|20|2|Medical|1|352|1|Male|3|Research Director|3|19436|0|Y|19|3|4|80||22|5|3|21|3|9
39|No|Non-Travel|Research & Development|90|3|Life Sciences|1|2022|4|Male|3|Manager|4|19431|2|Y|13|3|3|80||21|3|2|6|1|3
41|No|Frequently|Research & Development||3|Medical|1|999|1|Male|3|Research Director|3|19419|2|Y|17|3|2|80||21|2|4|18|0|11
54|No|Rarely|Research & Development|50|2|Medical|1|522|1|Male|3|Research Director|1|19406|4|Y|11|3|3|80||24|4|2|4|1|2
43|No|Rarely|Research & Development|60|3|Medical|1|1866|1|Female|2|Manager|3|19392|7|Y|13|3|4|80||21|2|3|16|6|14
50|No|Rarely|Sales|90|3|Marketing|1|1591|3|Male|3|Manager|3|19331|4|Y|16|3|3|80||27|2|3|1|0|0
46|No|Rarely|Research & Development|20|4|Medical|1|1789|3|Male|3|Research Director|4|19328|7|Y|17|3|3|80||24|3|3|2|2|2
39|No|Frequently|Research & Development|70|2|Medical|1|444|3|Male|2|Manager|4|19272|1|Y|15|3|1|80||21|2|3|21|13|3
58|Yes|Rarely|Research & Development|20|4|Life Sciences|1|825|4|Male|3|Research Director|2|19246|7|Y|12|3|4|80||40|2|3|31|13|8
50|No|Rarely|Research & Development|20|4|Medical|1|1061|2|Male|3|Research Director|3|19237|2|Y|11|3|4|80||29|2|2|8|7|7
42|No|Rarely|Research & Development|40|2|Technical Degree|1|319|3|Male|3|Manager|4|19232|1|Y|11|3|4|80||22|3|3|22|11|15
45|No|Rarely|Research & Development|10|3|Other|1|336|3|Male|4|Manager|4|19202|0|Y|11|3|3|80||25|2|3|24|1|7
39|No|Frequently|Research & Development|10|1|Life Sciences|1|531|2|Male|3|Manager|3|19197|1|Y|14|3|3|80||21|3|3|21|1|6
44|No|Rarely|Research & Development|40|2|Life Sciences|1|1288|3|Male|4|Manager|1|19190|1|Y|14|3|4|80||26|4|2|25|14|13
41|No|Rarely|Human Resources|10|3|Human Resources|1|734|4|Male|2|Manager|3|19189|1|Y|12|3|2|80||22|3|3|22|2|10
55|No|Rarely|Research & Development||2|Medical|1|1336|4|Female|1|Manager|3|19187|4|Y|14|3|4|80||23|5|3|19|9|11
49|No|Frequently|Research & Development|20|1|Life Sciences|1|1941|2|Male|3|Research Director|4|19161|3|Y|15|3|4|80||28|3|3|5|4|3
50|No|Rarely|Research & Development|40|1|Life Sciences|1|385|1|Male|3|Research Director|2|19144|3|Y|14|3|1|80||28|4|2|10|1|6
41|No|Rarely|Human Resources|100|4|Human Resources|1|731|2|Male|2|Manager|4|19141|3|Y|15|3|2|80||23|2|2|21|12|6
53|No|Rarely|Research & Development|50|3|Other|1|32|3|Female|3|Manager|3|19094|4|Y|11|3|4|80||26|3|2|14|4|8
46|No|Rarely|Research & Development|150|2|Life Sciences|1|1217|4|Male|3|Research Director|2|19081|5|Y|11|3|1|80||25|2|3|4|0|3
52|No|Non-Travel|Sales|20|4|Life Sciences|1|329|1|Male|2|Manager|3|19068|1|Y|18|3|4|80||33|2|4|33|15|12
44|No|Rarely|Research & Development|70|3|Medical|1|1608|2|Female|3|Research Director|4|19049|0|Y|14|3|4|80||23|4|2|22|1|10
55|No|Rarely|Research & Development|10|3|Medical|1|374|4|Male|3|Manager|1|19045|0|Y|14|3|3|80||37|2|3|36|4|13
55|No|Rarely|Research & Development|20|3|Medical|1|1770|3|Male|2|Research Director|1|19038|8|Y|12|3|2|80||34|2|3|1|0|0
40|No|Rarely|Research & Development|40|1|Medical|1|253|4|Female|3|Manager|3|19033|1|Y|14|3|2|80||21|2|3|20|9|9
46|No|Rarely|Sales|20|4|Marketing|1|38|2|Female|3|Manager|1|18947|3|Y|12|3|4|80||22|2|2|2|2|1
42|No|Rarely|Research & Development|20|3|Life Sciences|1|2031|1|Male|3|Manager|3|18880|5|Y|11|3|1|80||24|2|2|22|4|14
59|No|Non-Travel|Human Resources||4|Human Resources|1|140|3|Female|2|Manager|4|18844|9|Y|21|4|4|80||30|3|3|3|2|2
45|Yes|Rarely|Sales|20|3|Marketing|1|1277|1|Female|1|Manager|2|18824|2|Y|16|2|1|80|||2|3|24|1|11
46|No|Rarely|Sales|40|2|Marketing|1|1280|4|Female|2|Manager|2|18789|2|Y|14|3|3|80||26|2|3|11|0|8
50|No|Rarely|Research & Development|70|2|Medical|1|80|2|Female|2|Research Director|3|18740|5|Y|12|3|4|80||29|2|2|27|13|8
55|No|Rarely|Research & Development|140|4|Medical|1|254|3|Male|4|Research Director|2|18722|8|Y|11|3|4|80||36|3|3|24|2|15
49|No|Rarely|Research & Development|40|2|Medical|1|1256|1|Male|2|Manager|3|18711|2|Y|13|3|3|80||23|2|4|1|0|0
49|No|Frequently|Research & Development|100|4|Life Sciences|1|396|3|Female|3|Research Director|1|18665|9|Y|11|3|4|80|||4|3|3|1|2
53|No|Rarely|Research & Development|70|2|Medical|1|1201|4|Female|3|Manager|3|18606|3|Y|18|3|2|80||26|6|3|7|4|7
42|No|Frequently|Research & Development|80|3|Life Sciences|1|809|2|Male|3|Manager|4|18430|1|Y|13|3|2|80||24|4|2|24|14|9
42|No|Rarely|Sales|50|2|Marketing|1|1029|4|Male|3|Manager|3|18303|6|Y|13|3|2|80||21|3|4|1|0|0
47|No|Rarely|Research & Development||5|Life Sciences|1|447|4|Male|3|Research Director|3|18300|4|Y|11|3|2|80||21|2|3|3|1|1
48|No|Rarely|Research & Development|10|3|Life Sciences|1|1263|4|Male|2|Research Director|4|18265|6|Y|12|3|3|80||25|3|4|1|0|0
44|No|Rarely|Sales|50|3|Marketing|1|1267|2|Male|3|Manager|2|18213|7|Y|11|3|3|80||26|5|3|22|3|10
50|No|Frequently|Human Resources|30|3|Medical|1|644|1|Male|3|Manager|2|18200|1|Y|11|3|3|80||32|2|3|32|10|7
50|No|Frequently|Research & Development|10|3|Life Sciences|1|141|1|Female|3|Research Director|2|18172|3|Y|19|3|1|80||28|1|2|8|0|7
45|No|Frequently|Research & Development|250|3|Medical|1|1306|2|Female|3|Manager|2|18061|3|Y|22|4|3|80||22|4|3|0|0|0
40|No|Rarely|Sales|20|4|Life Sciences|1|558|3|Female|3|Manager|3|18041|0|Y|14|3|4|80||21|2|3|20|1|12
50|No|Non-Travel|Research & Development|20|4|Life Sciences|1|905|1|Male|3|Manager|1|17924|1|Y|11|3|4|80||31|3|3|31|14|7
|No|Rarely|Sales|210|3|Life Sciences|1|1938|4|Female|3|Manager|4|17875|4|Y|13|3|3|80||29|2|2|1|0|0
46|No|Rarely|Research & Development|20|3|Life Sciences|1|575|1|Male|3|Research Director|3|17861|6|Y|13|3|3|80||26|2|1|3|0|1
42|No|Non-Travel|Research & Development||1|Life Sciences|1|1334|3|Male|3|Manager|3|17861|0|Y|13|3|4|80||21|3|2|20|2|10
50|No|Frequently|Research & Development|20|3|Medical|1|1215|4|Female|3|Manager|1|17856|2|Y|22|4|3|80|||3|3|2|2|2
54|No|Rarely|Research & Development|30|3|Life Sciences|1|1250|4|Male|3|Research Director|4|17779|3|Y|14|3|1|80||36|2|3|10|0|9
42|No|Rarely|Research & Development|20|2|Medical|1|1109|4|Male|3|Manager|1|17665|0|Y|17|3|4|80||23|3|3|22|13|7
45|No|Rarely|Sales|110|2|Life Sciences|1|1045|4|Female|3|Manager|4|17650|3|Y|13|3|2|80||26|4|4|9|1|1
50|No|Rarely|Research & Development|20|3|Medical|1|815|3|Male|3|Research Director|3|17639|5|Y|16|3|4|80||30|3|3|4|0|3
43|No|Rarely|Research & Development|150|2|Life Sciences|1|1666|3|Male|2|Research Director|3|17603|1|Y|24|4|1|80||14|3|3|14|6|11
53|No|Rarely|Research & Development|30|4|Medical|1|386|3|Male|3|Research Director|3|17584|3|Y|16|3|4|80||21|5|2|5|1|3
46|No|Rarely|Sales|10|4|Life Sciences|1|1602|4|Male|4|Manager|1|17567|1|Y|15|3|2|80||27|5|1|26|0|12
46|No|Rarely|Sales|30|1|Marketing|1|1124|1|Male|3|Manager|3|17465|3|Y|12|3|4|80||23|3|3|12|4|9
33|No|Non-Travel|Sales|170|3|Life Sciences|1|992|4|Male|3|Manager|3|17444|1|Y|11|3|4|80||10|2|3|10|6|0
54|No|Rarely|Research & Development|220|5|Medical|1|1665|2|Female|3|Manager|3|17426|3|Y|25|4|3|80||36|6|3|10|4|7
50|No|Rarely|Research & Development|10|2|Medical|1|997|4|Male|3|Research Director|4|17399|9|Y|22|4|3|80||32|1|2|5|1|3
54|No|Non-Travel|Human Resources|260|3|Human Resources|1|148|4|Female|4|Manager|4|17328|2|Y|12|3|3|80||23|3|3|5|4|4
54|No|Rarely|Research & Development|10|3|Medical|1|1422|4|Female|3|Research Director|4|17328|6|Y|19|3|4|80||29|3|2|20|12|7
41|No|Frequently|Research & Development|100|3|Life Sciences|1|199|4|Male|2|Manager|1|17181|4|Y|13|3|2|80||21|2|2|7|7|7
48|No|Frequently|Research & Development|220|3|Medical|1|1900|4|Female|3|Manager|4|171743|3|Y|11|3|2|80||24|3|3|22|4|7
47|No|Rarely|Research & Development|20|4|Medical|1|1443|1|Female|3|Research Director|3|17169|3|Y|19|3|2|80||26|2|4|20|5|6
43|No|Rarely|Research & Development|140|2|Life Sciences|1|843|2|Male|3|Research Director|1|17159|6|Y|24|4|3|80||22|3|3|4|1|0
39|No|Rarely|Research & Development|130|4|Medical|1|1307|3|Female|2|Manager|2|17123|6|Y|13|3|4|80||21|4|3|19|15|2
52|No|Rarely|Research & Development|10|2|Life Sciences|1|976|4|Male|3|Manager|4|17099|2|Y|15|3|2|80||26|2|2|9|7|8
39|No|Rarely|Research & Development|100|1|Medical|1|429|3|Male|3|Manager|1|17068|1|Y|14|3|4|80||21|3|3|21|11|10
46|No|Rarely|Sales|20|3|Marketing|1|1204|3|Female|3|Manager|1|17048|8|Y|23|4|1|80||28|2|3|26|15|9
50|No|Rarely|Research & Development|290|4|Life Sciences|1|569|2|Male|2|Manager|3|17046|0|Y|15|3|2|80||28|2|3|27|15|7
34|No|Frequently|Research & Development|150|3|Medical|1|1485|2|Male|3|Research Director|1|17007|7|Y|14|3|4|80||16|3|2|14|6|9
43|No|Frequently|Sales|260|2|Life Sciences|1|158|3|Male|3|Manager|4|16959|1|Y|12|3|4|80|||3|4|25|4|12
48|No|Non-Travel|Research & Development|10|4|Medical|1|1116|1|Male|4|Manager|4|16885|2|Y|22|4|3|80||27|3|2|5|2|1
50|No|Rarely|Research & Development|280|3|Life Sciences|1|1317|4|Female|3|Research Director|1|16880|4|Y|11|3|2|80||25|2|3|3|1|2
46|No|Rarely|Sales|20|3|Technical Degree|1|363|3|Female|1|Manager|2|16872|3|Y|12|3|2|80||28|2|2|7|7|7
52|No|Rarely|Sales|30|4|Marketing|1|776|3|Male|2|Manager|1|16856|1|Y|11|3|1|80|||3|4|34|1|16
55|No|Rarely|Sales|180|5|Life Sciences|1|597|1|Female|3|Manager|2|16835|3|Y|23|4|4|80||37|2|3|10|7|7
40|No|Rarely|Research & Development|10|4|Life Sciences|1|1892|1|Male|3|Manager|1|16823|2|Y|11|3|1|80||22|3|3|19|11|16
42|No|Rarely|Human Resources|100|3|Human Resources|1|1408|3|Female|3|Manager|1|16799|0|Y|14|3|3|80|||5|3|20|0|9
45|No|Non-Travel|Research & Development|20|2|Medical|1|264|1|Male|2|Manager|4|16792|9|Y|23|4|4|80||22|1|3|20|11|8
55|No|Non-Travel|Research & Development|20|1|Medical|1|1074|3|Male|2|Manager|1|16756|7|Y|15|3|2|80||31|3|4|9|6|2
47|No|Rarely|Research & Development|20|2|Other|1|820|3|Female|3|Manager|4|16752|1|Y|11|3|3|80||26|3|2|26|3|0
45|No|Rarely|Research & Development|280|2|Technical Degree|1|1719|4|Female|2|Research Director|2|16704|1|Y|11|3|3|80|||2|3|21|8|6
55|No|Rarely|Research & Development|20|3|Life Sciences|1|505|3|Female|3|Manager|4|16659|2|Y|13|3|3|80||30|2|3|5|1|2
43|No|Rarely|Research & Development|60|4|Other|1|661|2|Male|2|Research Director|4|16627|4|Y|14|3|3|80||21|3|2|1|0|0
46|No|Rarely|Sales|30|3|Life Sciences|1|1527|3|Female|3|Manager|2|16606|8|Y|12|3|4|80||23|2|4|13|5|1
53|No|Rarely|Research & Development|20|3|Medical|1|1472|4|Male|4|Research Director|2|16598|4|Y|12|3|2|80||35|2|2|9|8|8
41|No|Rarely|Sales|20|5|Life Sciences|1|625|2|Female|3|Manager|1|16595|7|Y|16|3|2|80|||2|3|18|11|8
52|No|Rarely|Research & Development|40|2|Life Sciences|1|546|4|Female|3|Manager|4|16555|2|Y|13|3|4|80||31|2|1|5|1|4
40|No|Rarely|Human Resources|60|2|Medical|1|1550|3|Male|3|Manager|4|16437|1|Y|21|4|4|80||21|2|3|21|7|7
31|No|Rarely|Research & Development|80|5|Life Sciences|1|1430|1|Female|3|Research Director|2|16422|3|Y|11|3|3|80||9|3|4|3|1|0
49|No|Rarely|Research & Development|220|4|Other|1|1655|1|Female|3|Research Director|2|16413|3|Y|16|3|2|80||27|2|3|4|1|2
44|No|Rarely|Research & Development|280|3|Life Sciences|1|1523|4|Male|3|Research Director|1||3|Y|13|3|3|80||24|1|4|20|14|17
51|No|Rarely|Sales|260|4|Marketing|1|851|1|Female|3|Manager|3|16307|2|Y|14|3|3|80||29|2|2|20|4|17
58|No|Non-Travel|Sales|20|3|Medical|1|1824|2|Male|3|Manager|2|16291|4|Y|22|4|4|80||37|0|2|16|14|14
33|No|Rarely|Research & Development|10|5|Medical|1|612|1|Female|4|Research Director|3|16184|4|Y|19|3|3|80||10|2|3|6|0|5
29|No|Rarely|Research & Development|10|3|Life Sciences|1|1264|4|Female|2|Research Director|4|16124|3|Y|14|3|2|80||9|2|2|7|1|7
43|No|Rarely|Sales|160|3|Marketing|1|327|4|Female|3|Manager|4|16064|5|Y|22|4|3|80|||3|3|17|1|9
54|No|Frequently|Research & Development|110|4|Medical|1|1520|2|Female|3|Manager|4|16032|3|Y|20|4|1|80||26|2|3|14|1|12
41|No|Rarely|Sales|20|4|Life Sciences|1|410|4|Male|3|Manager|2|16015|1|Y|19|3|2|80||22|2|3|22|0|4
42|No|Rarely|Research & Development|230|5|Life Sciences|1|468|1|Female|3|Research Director|4|15992|2|Y|14|3|2|80||16|2|3|1|0|0
47|No|Rarely|Sales|20|4|Life Sciences|1|1676|2|Female|4|Manager|2|15972|6|Y|14|3|3|80||29|2|3|3|1|2
58|No|Frequently|Research & Development|150|4|Life Sciences|1|1837|1|Male|3|Research Director|3|15787|2|Y|14|3|2|80||23|3|3|2|2|2
53|No|Rarely|Sales|20|4|Life Sciences|1|23|1|Female|2|Manager|4|15427|2|Y|16|3|3|80||31|3|3|25|3|7
48|No|Rarely|Research & Development|10|4|Life Sciences|1|664|4|Female|2|Manager|1|15402|7|Y|11|3|1|80||21|3|1|3|0|2
49|No|Rarely|Research & Development|10|3|Life Sciences|1|1677|3|Male|3|Manager|3|15379|4|Y|14|3|1|80||23|2|3|8|0|0
48|No|Frequently|Research & Development|40|5|Medical|1|1644|3|Male|2|Manager|4|15202|2|Y|25|4|2|80|10|23|3|3|2|2|2
53|No|Rarely|Sales|20|2|Medical|1|981|3|Male|3|Manager|3|14852|6|Y|13|3|3|80|||3|4|17|15|2
53|No|Rarely|Research & Development|70|3|Life Sciences|1|730|3|Male|4|Research Director|3|14814|3|Y|19|3|3|80||32|3|3|5|1|3
55|No|Rarely|Research & Development|80|3|Medical|1|84|4|Female|3|Manager|3|14756|2|Y|14|3|3|80|30|21|2|3|5|0|2
55|No|Rarely|Research & Development|10|4|Medical|1|1424|2|Male|4|Research Director|4|14732|2|Y|13|3|4|80||31|4|4|7|0|0
50|No|Frequently|Research & Development|220|5|Medical|1|1539|3|Male|1|Research Director|4|14411|1|Y|13|3|4|80|0|32|2|3|32|13|9
43|No|Rarely|Research & Development|120|3|Life Sciences|1|520|1|Male|2|Research Director|2|14336|1|Y|11|3|3|80||25|3|3|25|3|9
53|No|Rarely|Research & Development|230|4|Life Sciences|1|901|4|Female|3|Research Director|4|14275|6|Y|18|3|3|80|0|33|0|3|12|3|8
57|No|Rarely|Sales|290|3|Marketing|1|568|1|Male|2|Manager|4|14118|3|Y|12|3|3|80||32|3|2|1|0|0
51|No|Rarely|Human Resources|50|3|Life Sciences|1|1352|3|Male|3|Manager|2|14026|1|Y|11|3|2|80|10|33|2|3|33|0|10
50|No|Rarely|Research & Development|240|3|Life Sciences|1|1005|4|Male|3|Manufacturing Director|3|13973|3|Y|18|3|4|80|10|22|2|3|12|1|5
49|No|Rarely|Research & Development|60|1|Life Sciences|1|1661|3|Female|2|Healthcare Representative|3|13966|2|Y|19|3|2|80|10|30|3|3|15|2|12
49|No|Rarely|Research & Development|10|2|Technical Degree|1|431|3|Female|2|Healthcare Representative|3|13964|7|Y|12|3|4|80||25|2|3|7|0|7
58| No|Rarely|Sales|100|4|Medical|1|131|4|Male|3|Sales Executive|3|13872|0|Y|13|3|3|80|0|38|1|2|37|1|8
52|No|Frequently|Research & Development|250|4|Medical|1|867|3|Female|2|Manufacturing Director|4|13826|3|Y|22|4|3|80||31|3|3|9|0|0
47|No|Frequently|Sales|30|3|Medical|1|746|4|Female|3|Sales Executive|3|13770|9|Y|12|3|4|80|||2|2|22|11|13
42|Yes|Frequently|Sales|120|3|Life Sciences|1|1167|3|Male|3|Sales Executive|1|13758|0|Y|12|3|2|80||22|2|2|21|13|14
40|No|Non-Travel|Research & Development|80|1|Medical|1|1468|4|Male|2|Research Director|2|13757|2|Y|11|3|3|80||16|5|3|9|4|8
37|No|Rarely|Research & Development|100|3|Life Sciences|1|2017|3|Female|4|Research Director|4|13744|1|Y|25|4|1|80|||2|3|16|6|8
51|No|Rarely|Research & Development|30|3|Medical|1|258|4|Female|3|Healthcare Representative|2|13734|3|Y|18|3|3|80||21|6|3|7|1|0
59|No|Rarely|Research & Development|20|3|Life Sciences|1|1032|3|Female|2|Manufacturing Director|4|13726|3|Y|13|3|1|80||30|4|3|5|4|3
55|Yes|Rarely|Sales|130|4|Marketing|1|1372|1|Male|4|Sales Executive|3|13695|6|Y|17|3|3|80||24|2|2|19|3|8
31|No|Frequently|Research & Development|30|4|Medical|1|337|2|Male|3|Research Director|3|13675|9|Y|12|3|1|80||9|3|3|2|2|2
37|No|Rarely|Research & Development|70|4|Medical|1|102|1|Male|3|Research Director|3|13664|4|Y|13|3|1|80||16|3|4|5|0|2
33|Yes|Rarely|Research & Development|150|1|Medical|1|582|2|Male|3|Manager|3|13610|7|Y|12|3|4|80||15|2|4|7|7|7
37|No|Non-Travel|Research & Development|10|4|Medical|1|380|1|Female|3|Research Director|4|13603|2|Y|18|3|1|80||15|2|3|5|0|2
41|No|Rarely|Sales|60|3|Life Sciences|1|298|4|Female|3|Manager|4|13591|3|Y|18|3|3|80||16|3|3|1|0|0
38|No|Rarely|Research & Development|10|3|Technical Degree|1|950|4|Female|3|Research Director|1|13582|1|Y|13|3|2|80||15|3|3|15|5|11
55|No|Non-Travel|Research & Development|80|1|Medical|1|1278|4|Male|2|Healthcare Representative|2|13577|1|Y|15|3|4|80||34|3|3|33|15|0
41|No|Rarely|Research & Development|280|4|Life Sciences|1|2034|1|Female|2|Manufacturing Director|2|13570|0|Y|23|4|3|80||21|3|3|20|0|10
54|No|Rarely|Research & Development|20|4|Technical Degree|1|126|1|Female|3|Research Director|3|13549|9|Y|12|3|1|80||16|5|1|4|0|3
42|No|Frequently|Sales|260|3|Marketing|1|404|3|Female|3|Sales Executive|2|13525|5|Y|14|3|4|80||23|2|4|20|4|8
40|No|Frequently|Research & Development||4|Life Sciences|1|119|3|Male|2|Healthcare Representative|2|13503|1|Y|22|4|4|80|||3|2|22|11|11
40|No|Frequently|Research & Development|90|4|Medical|1|1166|2|Female|3|Research Director|3|13499|9|Y|17|3|3|80||20|3|2|18|2|13
45|No|Rarely|Research & Development|200|2|Medical|1|372|3|Male|3|Healthcare Representative|4|13496|0|Y|14|3|2|80||21|2|3|20|4|10
39|No|Rarely|Research & Development|100|1|Medical|1|1800|3|Male|3|Research Director|3|13464|7|Y|21|4|3|80||9|3|3|4|2|2
33|No|Frequently|Research & Development|10|2|Life Sciences|1|73|1|Female|3|Research Director|4|13458|1|Y|12|3|3|80||15|1|3|15|8|12
56|No|Rarely|Research & Development|230|3|Life Sciences|1|1373|4|Male|3|Manufacturing Director|2|99999|4|Y|12|3|1|80||33|0|3|19|15|9
42|No|Rarely|Research & Development|60|3|Medical|1|1911|3|Male|3|Research Director|1|13348|9|Y|13|3|2|80||18|3|4|13|5|7
39|No|Rarely|Sales|150|4|Marketing|1|1975|2|Male|3|Sales Executive|1|13341|0|Y|12|3|1|80||21|3|3|20|11|10
44|No|Rarely|Sales|280|3|Medical|1|1039|4|Female|4|Sales Executive|4|13320|3|Y|18|3|3|80||23|2|3|12|11|11
50|No|Rarely|Research & Development|170|5|Life Sciences|1|1656|4|Female|2|Research Director|1|13269|5|Y|15|2|3|80||19|3|3|14|1|11
52|No|Frequently|Research & Development|280|2|Medical|1|1401|4|Female|4|Manufacturing Director|3|13247|2|Y|11|3|2|80||24|3|2|5|0|2
45|No|Rarely|Research & Development|60|4|Other|1|101|4|Male|3|Research Director|1|13245|4|Y|14|3|2|80||17|3|4|0|0|0
40|No|Rarely|Research & Development|60|3|Life Sciences|1|601|2|Female|3|Manufacturing Director|3|13237|7|Y|15|3|3|80||22|3|3|20|5|13
46|No|Rarely|Sales|30|3|Technical Degree|1|1863|1|Female|4|Sales Executive|1|13225|2|Y|12|3|4|80|||5|3|19|2|8
56|No|Frequently|Sales|60|3|Life Sciences|1|532|3|Female|4|Sales Executive|1|13212|9|Y|11|3|4|80||36|0|2|7|7|7
38|No|Rarely|Research & Development|100|3|Medical|1|2015|2|Female|1|Research Director|3|13206|3|Y|12|3|1|80||20|3|3|18|1|11
40|Yes|Non-Travel|Sales|240|3|Life Sciences|1|986|2|Female|4|Sales Executive|2|13194|4|Y|16|3|4|80|||2|2|1|0|0
42|No|Frequently|Research & Development|260|5|Medical|1|1242|1|Female|3|Research Director|1|13191|3|Y|17|3|3|80||20|6|3|1|0|0
51|No|Rarely|Research & Development|110|2|Technical Degree|1|1367|4|Female|2|Manufacturing Director|2|13142|3|Y|16|3|2|80||29|1|2|5|0|3
49|No|Rarely|Sales|80|4|Technical Degree|1|1138|4|Male|2|Sales Executive|2|13120|6|Y|17|3|2|80|||3|3|9|2|3
51|No|Rarely|Research & Development|30|3|Technical Degree|1|1786|1|Female|3|Manager|3|13116|2|Y|11|3|4|80||15|2|3|2|2|2
53|No|Non-Travel|Research & Development||4|Medical|1|1775|1|Female|2|Manufacturing Director|3|12965|4|Y|20|4|4|80|||2|2|3|0|2
47|Yes|Frequently|Sales|90|3|Life Sciences|1|1716|3|Male|1|Sales Executive|3|12936|7|Y|11|3|3|80||25|3|1|23|14|10
27|No|Rarely|Research & Development|50|1|Technical Degree|1|844|3|Male|2|Research Director|4|12808|1|Y|16|3|2|80||9|3|3|9|0|8
39|No|Rarely|Research & Development|10|1|Life Sciences|1|1026|4|Female|2|Manufacturing Director|4|12742|1|Y|16|3|3|80||21|3|3|21|11|8
48|No|Rarely|Sales||1|Medical|1|473|1|Female|3|Manager|3|12504|3|Y|21|4|2|80|||3|1|0|0|0
51|No|Rarely|Research & Development|80|4|Life Sciences|1|296|2|Male|2|Research Director|2|12490|5|Y|16|3|4|80||16|5|1|10|4|7
37|No|Frequently|Research & Development|110|3|Other|1|306|2|Male|3|Research Director|4|12185|1|Y|14|3|3|80||10|1|3|10|0|7
