,idade,desligado,viagens,departamento,distancia_de_casa,nivel_educacional,campo_da_educacao,id_do_empregado,satisfacao_com_ambiente,genero,envolvimento_com_o_trabalho,cargo,satisfacao_com_trabalho,renda_mensal,numero_de_companhias_que_trabalhou,percentual_de_aumento_salarial,desempenho,satisfacao_com_relacionamento,anos_de_trabalho,treinamentos_no_ultimo_ano,equilibrio_vida_trabalho,anos_na_empresa,anos_desde_a_ultima_promocao,anos_com_atual_gestor,target
133,53.0,no,Rarely,Sales,20.0,2,Medical,981,3,Male,3,Manager,3,14852.0,6,13,3,3,28.0,3,4,17,15,2,0
134,53.0,no,Rarely,Research & Development,70.0,3,Life Sciences,730,3,Male,4,Research Director,3,14814.0,3,19,3,3,32.0,3,3,5,1,3,0
135,55.0,no,Rarely,Research & Development,80.0,3,Medical,84,4,Female,3,Manager,3,14756.0,2,14,3,3,21.0,2,3,5,0,2,0
136,55.0,no,Rarely,Research & Development,10.0,4,Medical,1424,2,Male,4,Research Director,4,14732.0,2,13,3,4,31.0,4,4,7,0,0,0
137,50.0,no,Frequently,Research & Development,220.0,5,Medical,1539,3,Male,1,Research Director,4,14411.0,1,13,3,4,32.0,2,3,32,13,9,0
138,43.0,no,Rarely,Research & Development,120.0,3,Life Sciences,520,1,Male,2,Research Director,2,14336.0,1,11,3,3,25.0,3,3,25,3,9,0
139,53.0,no,Rarely,Research & Development,230.0,4,Life Sciences,901,4,Female,3,Research Director,4,14275.0,6,18,3,3,33.0,0,3,12,3,8,0
140,57.0,no,Rarely,Sales,290.0,3,Marketing,568,1,Male,2,Manager,4,14118.0,3,12,3,3,32.0,3,2,1,0,0,0
141,51.0,no,Rarely,Human Resources,50.0,3,Life Sciences,1352,3,Male,3,Manager,2,14026.0,1,11,3,2,33.0,2,3,33,0,10,0
142,50.0,no,Rarely,Research & Development,240.0,3,Life Sciences,1005,4,Male,3,Manufacturing Director,3,13973.0,3,18,3,4,22.0,2,3,12,1,5,0
143,49.0,no,Rarely,Research & Development,60.0,1,Life Sciences,1661,3,Female,2,Healthcare Representative,3,13966.0,2,19,3,2,30.0,3,3,15,2,12,0
144,49.0,no,Rarely,Research & Development,10.0,2,Technical Degree,431,3,Female,2,Healthcare Representative,3,13964.0,7,12,3,4,25.0,2,3,7,0,7,0
145,58.0,no,Rarely,Sales,100.0,4,Medical,131,4,Male,3,Sales Executive,3,13872.0,0,13,3,3,38.0,1,2,37,1,8,0
146,52.0,no,Frequently,Research & Development,250.0,4,Medical,867,3,Female,2,Manufacturing Director,4,13826.0,3,22,4,3,31.0,3,3,9,0,0,0
147,47.0,no,Frequently,Sales,30.0,3,Medical,746,4,Female,3,Sales Executive,3,13770.0,9,12,3,4,22.333333333333332,2,2,22,11,13,0
148,42.0,yes,Frequently,Sales,120.0,3,Life Sciences,1167,3,Male,3,Sales Executive,1,13758.0,0,12,3,2,22.0,2,2,21,13,14,1
149,40.0,no,Non-Travel,Research & Development,80.0,1,Medical,1468,4,Male,2,Research Director,2,13757.0,2,11,3,3,16.0,5,3,9,4,8,0
150,37.0,no,Rarely,Research & Development,100.0,3,Life Sciences,2017,3,Female,4,Research Director,4,13744.0,1,25,4,1,20.666666666666668,2,3,16,6,8,0
151,51.0,no,Rarely,Research & Development,30.0,3,Medical,258,4,Female,3,Healthcare Representative,2,13734.0,3,18,3,3,21.0,6,3,7,1,0,0
152,59.0,no,Rarely,Research & Development,20.0,3,Life Sciences,1032,3,Female,2,Manufacturing Director,4,13726.0,3,13,3,1,30.0,4,3,5,4,3,0
153,55.0,yes,Rarely,Sales,130.0,4,Marketing,1372,1,Male,4,Sales Executive,3,13695.0,6,17,3,3,24.0,2,2,19,3,8,1
154,31.0,no,Frequently,Research & Development,30.0,4,Medical,337,2,Male,3,Research Director,3,13675.0,9,12,3,1,9.0,3,3,2,2,2,0
155,37.0,no,Rarely,Research & Development,70.0,4,Medical,102,1,Male,3,Research Director,3,13664.0,4,13,3,1,16.0,3,4,5,0,2,0
156,33.0,yes,Rarely,Research & Development,150.0,1,Medical,582,2,Male,3,Manager,3,13610.0,7,12,3,4,15.0,2,4,7,7,7,1
157,37.0,no,Non-Travel,Research & Development,10.0,4,Medical,380,1,Female,3,Research Director,4,13603.0,2,18,3,1,15.0,2,3,5,0,2,0
158,41.0,no,Rarely,Sales,60.0,3,Life Sciences,298,4,Female,3,Manager,4,13591.0,3,18,3,3,16.0,3,3,1,0,0,0
159,38.0,no,Rarely,Research & Development,10.0,3,Technical Degree,950,4,Female,3,Research Director,1,13582.0,1,13,3,2,15.0,3,3,15,5,11,0
160,55.0,no,Non-Travel,Research & Development,80.0,1,Medical,1278,4,Male,2,Healthcare Representative,2,13577.0,1,15,3,4,34.0,3,3,33,15,0,0
161,41.0,no,Rarely,Research & Development,280.0,4,Life Sciences,2034,1,Female,2,Manufacturing Director,2,13570.0,0,23,4,3,21.0,3,3,20,0,10,0
162,54.0,no,Rarely,Research & Development,20.0,4,Technical Degree,126,1,Female,3,Research Director,3,13549.0,9,12,3,1,16.0,5,1,4,0,3,0
163,42.0,no,Frequently,Sales,260.0,3,Marketing,404,3,Female,3,Sales Executive,2,13525.0,5,14,3,4,23.0,2,4,20,4,8,0
164,40.0,no,Frequently,Research & Development,173.33333333333334,4,Life Sciences,119,3,Male,2,Healthcare Representative,2,13503.0,1,22,4,4,18.666666666666668,3,2,22,11,11,0
165,40.0,no,Frequently,Research & Development,90.0,4,Medical,1166,2,Female,3,Research Director,3,13499.0,9,17,3,3,20.0,3,2,18,2,13,0
166,45.0,no,Rarely,Research & Development,200.0,2,Medical,372,3,Male,3,Healthcare Representative,4,13496.0,0,14,3,2,21.0,2,3,20,4,10,0
167,39.0,no,Rarely,Research & Development,100.0,1,Medical,1800,3,Male,3,Research Director,3,13464.0,7,21,4,3,9.0,3,3,4,2,2,0
168,33.0,no,Frequently,Research & Development,10.0,2,Life Sciences,73,1,Female,3,Research Director,4,13458.0,1,12,3,3,15.0,1,3,15,8,12,0
170,42.0,no,Rarely,Research & Development,60.0,3,Medical,1911,3,Male,3,Research Director,1,13348.0,9,13,3,2,18.0,3,4,13,5,7,0
171,39.0,no,Rarely,Sales,150.0,4,Marketing,1975,2,Male,3,Sales Executive,1,13341.0,0,12,3,1,21.0,3,3,20,11,10,0
172,44.0,no,Rarely,Sales,280.0,3,Medical,1039,4,Female,4,Sales Executive,4,13320.0,3,18,3,3,23.0,2,3,12,11,11,0
173,50.0,no,Rarely,Research & Development,170.0,5,Life Sciences,1656,4,Female,2,Research Director,1,13269.0,5,15,2,3,19.0,3,3,14,1,11,0
174,52.0,no,Frequently,Research & Development,280.0,2,Medical,1401,4,Female,4,Manufacturing Director,3,13247.0,2,11,3,2,24.0,3,2,5,0,2,0
175,45.0,no,Rarely,Research & Development,60.0,4,Other,101,4,Male,3,Research Director,1,13245.0,4,14,3,2,17.0,3,4,0,0,0,0
176,40.0,no,Rarely,Research & Development,60.0,3,Life Sciences,601,2,Female,3,Manufacturing Director,3,13237.0,7,15,3,3,22.0,3,3,20,5,13,0
177,46.0,no,Rarely,Sales,30.0,3,Technical Degree,1863,1,Female,4,Sales Executive,1,13225.0,2,12,3,4,25.0,5,3,19,2,8,0
178,56.0,no,Frequently,Sales,60.0,3,Life Sciences,532,3,Female,4,Sales Executive,1,13212.0,9,11,3,4,36.0,0,2,7,7,7,0
179,38.0,no,Rarely,Research & Development,100.0,3,Medical,2015,2,Female,1,Research Director,3,13206.0,3,12,3,1,20.0,3,3,18,1,11,0
180,40.0,yes,Non-Travel,Sales,240.0,3,Life Sciences,986,2,Female,4,Sales Executive,2,13194.0,4,16,3,4,22.666666666666668,2,2,1,0,0,1
181,42.0,no,Frequently,Research & Development,260.0,5,Medical,1242,1,Female,3,Research Director,1,13191.0,3,17,3,3,20.0,6,3,1,0,0,0
182,51.0,no,Rarely,Research & Development,110.0,2,Technical Degree,1367,4,Female,2,Manufacturing Director,2,13142.0,3,16,3,2,29.0,1,2,5,0,3,0
183,49.0,no,Rarely,Sales,80.0,4,Technical Degree,1138,4,Male,2,Sales Executive,2,13120.0,6,17,3,2,18.666666666666668,3,3,9,2,3,0
184,51.0,no,Rarely,Research & Development,30.0,3,Technical Degree,1786,1,Female,3,Manager,3,13116.0,2,11,3,4,15.0,2,3,2,2,2,0
185,53.0,no,Non-Travel,Research & Development,173.33333333333334,4,Medical,1775,1,Female,2,Manufacturing Director,3,12965.0,4,20,4,4,20.333333333333332,2,2,3,0,2,0
186,47.0,yes,Frequently,Sales,90.0,3,Life Sciences,1716,3,Male,1,Sales Executive,3,12936.0,7,11,3,3,25.0,3,1,23,14,10,1
187,27.0,no,Rarely,Research & Development,50.0,1,Technical Degree,844,3,Male,2,Research Director,4,12808.0,1,16,3,2,9.0,3,3,9,0,8,0
188,39.0,no,Rarely,Research & Development,10.0,1,Life Sciences,1026,4,Female,2,Manufacturing Director,4,12742.0,1,16,3,3,21.0,3,3,21,11,8,0
189,48.0,no,Rarely,Sales,170.0,1,Medical,473,1,Female,3,Manager,3,12504.0,3,21,4,2,17.333333333333332,3,1,0,0,0,0
190,51.0,no,Rarely,Research & Development,80.0,4,Life Sciences,296,2,Male,2,Research Director,2,12490.0,5,16,3,4,16.0,5,1,10,4,7,0
191,37.0,no,Frequently,Research & Development,110.0,3,Other,306,2,Male,3,Research Director,4,12185.0,1,14,3,3,10.0,1,3,10,0,7,0
192,39.0,yes,Frequently,Research & Development,180.0,3,Life Sciences,1127,1,Male,3,Healthcare Representative,4,12169.0,7,11,3,4,21.0,4,3,18,11,5,1
193,38.0,no,Rarely,Research & Development,250.0,2,Life Sciences,421,1,Female,2,Research Director,2,12061.0,3,17,3,3,19.0,2,3,10,0,1,0
194,39.0,no,Rarely,Sales,226.66666666666666,1,Marketing,2056,2,Female,2,Sales Executive,4,12031.0,0,11,3,1,21.0,2,2,20,9,6,0
195,35.0,no,Rarely,Research & Development,220.0,3,Life Sciences,381,2,Female,4,Manager,2,11996.0,7,18,3,2,10.0,6,2,7,6,2,0
196,34.0,no,Rarely,Research & Development,70.0,4,Life Sciences,28,1,Female,3,Research Director,2,11994.0,0,11,3,3,13.0,4,3,12,2,11,0
197,47.0,no,Non-Travel,Research & Development,10.0,1,Medical,2000,3,Female,3,Research Director,2,11957.0,0,18,3,1,14.0,3,1,13,5,12,0
198,29.0,no,Rarely,Research & Development,30.0,4,Medical,564,2,Male,2,Research Director,3,11935.0,1,18,3,3,10.0,2,3,10,0,7,0
199,30.0,no,Rarely,Research & Development,170.0,4,Medical,1321,2,Female,3,Manager,1,11916.0,1,23,4,4,9.0,2,3,9,0,8,0
200,59.0,no,Rarely,Sales,10.0,2,Technical Degree,1048,2,Male,3,Manager,4,11904.0,3,14,3,3,14.0,1,1,6,0,4,0
201,33.0,no,Frequently,Research & Development,50.0,4,Life Sciences,428,4,Female,3,Manager,2,11878.0,6,11,3,2,12.0,2,3,10,8,8,0
202,47.0,yes,Non-Travel,Research & Development,290.0,4,Life Sciences,376,1,Male,3,Manager,2,11849.0,1,12,3,4,10.0,2,2,10,9,9,1
203,53.0,no,Rarely,Sales,80.0,3,Marketing,897,1,Male,3,Sales Executive,4,11836.0,5,14,3,3,28.0,3,3,2,2,2,0
204,36.0,no,Non-Travel,Research & Development,80.0,3,Life Sciences,742,1,Female,4,Research Director,1,11713.0,9,14,3,1,10.0,2,3,8,0,5,0
205,33.0,no,Rarely,Research & Development,70.0,3,Medical,817,3,Male,3,Research Director,3,11691.0,0,11,3,4,14.0,3,4,13,3,7,0
206,34.0,no,Rarely,Research & Development,50.0,3,Medical,153,3,Female,2,Manager,1,11631.0,2,12,3,4,14.0,6,3,11,5,8,0
207,31.0,no,Rarely,Sales,70.0,3,Life Sciences,613,3,Male,2,Manager,4,11557.0,9,21,4,3,10.0,3,2,5,0,1,0
208,38.0,no,Rarely,Research & Development,150.0,2,Life Sciences,461,3,Male,2,Research Director,4,6348.0,0,14,3,2,12.0,3,3,11,2,9,0
209,30.0,no,Rarely,Research & Development,80.0,2,Life Sciences,1015,2,Female,4,Research Director,1,11416.0,0,12,3,3,9.0,4,2,8,1,7,0
210,50.0,no,Frequently,Research & Development,200.0,5,Medical,1606,2,Male,3,Healthcare Representative,3,11245.0,2,15,3,3,32.0,3,3,30,12,13,0
211,32.0,no,Rarely,Research & Development,100.0,3,Medical,1516,3,Male,3,Manager,4,11244.0,2,25,4,2,10.0,5,4,5,0,0,0
212,32.0,no,Rarely,Research & Development,30.0,2,Life Sciences,727,3,Female,3,Research Director,4,11159.0,3,15,3,4,10.0,6,3,7,7,7,0
213,56.0,no,Rarely,Research & Development,90.0,3,Medical,762,3,Male,3,Healthcare Representative,4,11103.0,7,11,3,3,30.0,1,2,10,1,1,0
214,31.0,no,Non-Travel,Research & Development,100.0,3,Medical,1979,3,Female,3,Research Director,3,11031.0,4,20,4,3,13.0,2,4,11,4,8,0
215,48.0,no,Rarely,Research & Development,150.0,4,Life Sciences,1024,3,Male,2,Healthcare Representative,3,10999.0,7,14,3,2,27.0,3,3,15,4,8,0
216,55.0,no,Frequently,Research & Development,20.0,1,Life Sciences,1096,4,Male,3,Manufacturing Director,2,10976.0,3,18,3,2,23.0,4,3,3,1,2,0
217,49.0,no,Rarely,Research & Development,70.0,3,Other,499,2,Male,2,Healthcare Representative,3,10965.0,8,24,4,3,26.0,2,3,5,0,0,0
218,39.0,no,Frequently,Research & Development,20.0,4,Technical Degree,343,3,Female,3,Healthcare Representative,3,10938.0,0,25,4,4,20.0,1,3,19,11,8,0
219,53.0,no,Rarely,Sales,70.0,2,Marketing,862,1,Female,2,Sales Executive,4,10934.0,7,18,3,4,35.0,3,3,5,0,4,0
220,40.0,no,Non-Travel,Sales,280.0,3,Other,615,3,Male,1,Sales Executive,1,10932.0,3,15,3,3,20.0,2,3,1,0,1,0
221,39.0,no,Non-Travel,Research & Development,250.0,2,Life Sciences,1397,3,Male,3,Healthcare Representative,3,10920.0,3,21,4,2,13.0,2,3,6,0,5,0
222,35.0,no,Rarely,Research & Development,250.0,3,Technical Degree,899,4,Male,2,Manufacturing Director,2,10903.0,3,16,3,1,16.0,2,3,13,4,8,0
223,60.0,no,Rarely,Research & Development,10.0,4,Medical,1697,3,Male,1,Healthcare Representative,4,10883.0,3,20,4,3,19.0,2,4,1,0,0,0
224,39.0,no,Frequently,Research & Development,220.0,3,Medical,1043,4,Female,3,Manufacturing Director,1,10880.0,1,13,3,3,21.0,2,3,21,2,8,0
225,40.0,no,Rarely,Sales,40.0,4,Marketing,215,3,Male,2,Sales Executive,4,10855.0,7,11,3,1,15.0,2,2,12,2,11,0
226,50.0,yes,Rarely,Sales,280.0,3,Marketing,2055,4,Male,2,Sales Executive,1,10854.0,4,13,3,2,20.0,3,3,3,2,0,1
227,45.0,no,Rarely,Research & Development,200.0,3,Medical,1460,2,Male,1,Healthcare Representative,1,10851.0,2,18,3,2,24.0,2,3,7,0,7,0
228,46.0,no,Rarely,Research & Development,70.0,2,Medical,1007,4,Male,3,Manufacturing Director,3,10845.0,6,13,3,2,13.0,3,3,8,0,7,0
229,43.0,no,Frequently,Research & Development,270.0,3,Life Sciences,1126,3,Female,3,Manufacturing Director,1,10820.0,8,11,3,3,18.0,1,3,8,0,1,0
230,43.0,no,Rarely,Sales,250.0,3,Medical,1076,3,Male,2,Sales Executive,4,10798.0,5,13,3,3,18.0,5,3,1,0,0,0
231,43.666666666666664,no,Rarely,Sales,80.0,2,Life Sciences,1453,1,Male,3,Sales Executive,4,10793.0,1,18,3,1,13.0,5,3,13,9,9,0
232,45.0,no,Rarely,Sales,146.66666666666666,3,Marketing,864,4,Male,3,Sales Executive,1,10761.0,4,12,3,3,18.0,2,3,5,0,2,0
233,45.0,no,Non-Travel,Research & Development,10.0,1,Life Sciences,1712,3,Male,2,Healthcare Representative,3,10748.0,3,23,4,4,25.0,3,2,23,14,4,0
234,54.0,no,Rarely,Research & Development,170.0,3,Technical Degree,1013,3,Female,3,Manufacturing Director,3,10739.0,8,11,3,3,22.0,2,3,10,0,8,0
235,54.0,no,Rarely,Human Resources,190.0,4,Medical,698,3,Male,3,Human Resources,2,10725.0,2,15,3,3,16.0,1,4,9,7,1,0
236,54.0,no,Rarely,Sales,20.0,4,Life Sciences,1070,3,Female,2,Sales Executive,3,10686.0,6,11,3,2,13.0,4,3,9,7,0,0
237,35.0,no,Rarely,Research & Development,90.0,3,Life Sciences,880,4,Female,2,Manufacturing Director,3,10685.0,1,20,4,2,17.0,2,3,17,5,15,0
238,46.0,no,Frequently,Research & Development,173.33333333333334,3,Medical,124,3,Male,2,Healthcare Representative,1,10673.0,2,13,3,3,21.0,5,2,10,9,5,0
239,51.0,yes,Frequently,Research & Development,80.0,4,Life Sciences,179,1,Male,1,Manufacturing Director,4,10650.0,2,15,3,4,18.0,2,3,4,0,3,1
240,31.0,no,Rarely,Research & Development,90.0,1,Life Sciences,581,3,Male,3,Manufacturing Director,2,10648.0,1,25,4,4,13.0,6,4,13,0,8,0
241,38.0,no,Rarely,Sales,30.0,3,Life Sciences,307,1,Male,3,Sales Executive,3,10609.0,0,12,3,3,17.0,6,2,16,5,13,0
242,37.0,yes,Rarely,Sales,10.0,4,Life Sciences,970,1,Male,2,Sales Executive,3,10609.0,5,11,3,3,17.0,2,1,14,11,7,1
243,51.0,no,Frequently,Sales,20.0,3,Marketing,1391,2,Male,3,Sales Executive,2,10596.0,2,11,3,2,14.0,5,3,4,3,2,0
244,58.0,no,Rarely,Research & Development,50.0,3,Technical Degree,940,3,Female,2,Healthcare Representative,2,10552.0,2,13,3,4,24.0,3,3,6,0,4,0
245,46.0,no,Frequently,Research & Development,180.0,1,Medical,624,1,Female,3,Healthcare Representative,3,10527.0,5,11,3,4,28.0,3,2,2,1,2,0
246,59.0,no,Rarely,Research & Development,180.0,4,Medical,1283,4,Male,3,Manufacturing Director,4,10512.0,6,12,3,4,25.0,6,2,9,5,4,0
247,54.0,no,Frequently,Research & Development,10.0,4,Life Sciences,1245,4,Female,3,Manufacturing Director,3,10502.0,7,17,3,1,33.0,2,1,5,1,4,0
248,50.0,no,Rarely,Research & Development,100.0,3,Technical Degree,491,4,Male,2,Healthcare Representative,4,10496.0,6,15,3,4,20.0,2,3,4,1,3,0
249,44.0,yes,Rarely,Human Resources,10.0,2,Medical,1098,2,Male,2,Human Resources,1,10482.0,9,14,3,4,24.0,1,3,20,3,6,1
250,40.0,no,Frequently,Sales,50.0,4,Life Sciences,729,4,Male,2,Sales Executive,1,10475.0,5,21,4,3,20.0,2,3,18,1,12,0
251,49.0,no,Rarely,Research & Development,70.0,4,Life Sciences,1484,3,Male,3,Healthcare Representative,2,10466.0,3,14,3,2,29.0,3,3,8,0,7,0
252,46.0,no,Rarely,Sales,130.0,2,Marketing,244,2,Female,3,Sales Executive,1,10453.0,1,25,4,3,24.0,2,3,24,15,7,0
253,53.0,yes,Rarely,Sales,240.0,4,Life Sciences,1968,1,Male,3,Sales Executive,1,10448.0,6,13,3,2,15.0,2,2,2,2,2,1
254,41.0,no,Rarely,Sales,40.0,1,Marketing,1815,3,Female,3,Sales Executive,3,10447.0,0,13,3,4,23.0,3,4,22,13,5,0
255,52.0,no,Rarely,Research & Development,70.0,4,Life Sciences,1118,2,Male,3,Healthcare Representative,2,10445.0,7,19,3,4,18.0,4,3,8,4,0,0
256,40.0,no,Rarely,Research & Development,150.0,3,Life Sciences,1628,1,Female,2,Manufacturing Director,3,10435.0,1,13,3,4,18.0,2,3,18,14,12,0
257,32.0,no,Rarely,Sales,10.0,4,Marketing,2016,3,Female,3,Sales Executive,4,10422.0,1,19,3,3,14.0,3,3,14,5,7,0
258,32.0,yes,Rarely,Sales,40.0,4,Medical,291,4,Male,1,Sales Executive,4,10400.0,1,11,3,3,14.0,2,2,14,9,8,1
259,35.0,no,Rarely,Research & Development,250.0,4,Medical,1014,3,Female,3,Healthcare Representative,3,10388.0,1,11,3,3,16.0,3,2,16,10,1,0
260,35.0,no,Non-Travel,Sales,80.0,2,Marketing,1243,3,Female,2,Sales Executive,4,10377.0,4,11,3,2,16.0,6,2,13,4,12,0
261,46.0,no,Rarely,Sales,20.0,3,Life Sciences,1732,3,Male,3,Sales Executive,4,10368.0,4,12,3,2,13.0,5,2,10,0,3,0
262,47.0,no,Rarely,Research & Development,40.0,3,Life Sciences,1827,3,Female,2,Manufacturing Director,2,10333.0,8,12,3,3,28.0,4,3,22,14,10,0
263,36.0,yes,Rarely,Sales,30.0,1,Life Sciences,967,3,Male,2,Sales Executive,4,10325.0,1,11,3,1,16.0,6,3,16,3,7,1
264,40.0,no,Rarely,Research & Development,200.0,4,Technical Degree,1092,1,Male,3,Healthcare Representative,4,10322.0,4,20,4,4,14.0,6,3,11,11,1,0
265,58.0,yes,Rarely,Research & Development,230.0,4,Medical,165,4,Female,3,Healthcare Representative,4,10312.0,1,12,3,4,40.0,3,2,40,15,6,1
266,35.0,yes,Rarely,Sales,100.0,3,Medical,1639,4,Male,2,Sales Executive,1,10306.0,9,17,3,3,15.0,3,3,13,6,0,1
267,35.0,no,Rarely,Research & Development,20.0,3,Life Sciences,1182,3,Male,2,Manufacturing Director,2,10274.0,2,18,3,2,15.0,2,4,7,6,4,0
268,60.0,no,Frequently,Sales,280.0,3,Marketing,573,3,Female,2,Sales Executive,1,10266.0,4,19,3,4,22.0,5,4,18,13,11,0
269,36.0,no,Rarely,Research & Development,10.0,3,Technical Degree,1237,3,Female,1,Manufacturing Director,1,10252.0,2,21,4,3,17.0,2,3,7,7,7,0
270,44.0,no,Rarely,Research & Development,70.0,4,Medical,36,1,Female,2,Healthcare Representative,4,10248.0,3,14,3,4,24.0,4,3,22,5,17,0
271,55.0,no,Rarely,Sales,10.0,2,Life Sciences,106,1,Male,3,Sales Executive,4,10239.0,3,14,3,4,24.0,4,3,1,1,0,0
272,43.0,no,Rarely,Sales,40.0,4,Marketing,1293,4,Female,2,Sales Executive,4,10231.0,3,14,3,4,23.0,3,4,21,15,17,0
273,35.0,no,Rarely,Research & Development,70.0,3,Other,845,3,Male,3,Manufacturing Director,3,10221.0,3,21,4,2,17.0,3,4,8,1,6,0
274,44.0,no,Frequently,Research & Development,20.0,1,Medical,1496,2,Male,3,Manufacturing Director,3,10209.0,5,18,3,2,16.0,2,2,2,2,2,0
275,53.0,yes,Rarely,Research & Development,20.0,5,Technical Degree,1572,3,Female,2,Manufacturing Director,4,10169.0,0,16,3,2,34.0,4,3,33,1,9,1
276,42.0,no,Frequently,Research & Development,20.0,3,Life Sciences,1547,4,Male,3,Healthcare Representative,4,10124.0,2,14,3,3,24.0,3,1,20,13,9,0
277,36.0,no,Rarely,Research & Development,80.0,3,Technical Degree,83,3,Female,3,Healthcare Representative,3,10096.0,1,13,3,2,17.0,2,3,17,12,8,0
278,46.0,yes,Rarely,Sales,90.0,3,Marketing,1457,1,Male,3,Sales Executive,4,10096.0,4,11,3,1,28.0,1,4,7,4,3,1
279,37.0,yes,Frequently,Research & Development,100.0,3,Medical,342,1,Male,3,Manufacturing Director,3,10048.0,6,11,3,2,17.0,5,3,1,0,0,1
280,58.0,yes,Rarely,Research & Development,70.0,4,Medical,1360,3,Female,2,Manufacturing Director,1,10008.0,7,14,3,4,31.0,0,2,10,5,9,1
281,33.0,no,Frequently,Sales,50.0,1,Life Sciences,1395,2,Male,3,Sales Executive,4,9998.0,6,13,3,1,8.0,2,4,5,1,2,0
282,39.0,no,Rarely,Research & Development,60.0,1,Medical,2062,4,Male,2,Healthcare Representative,1,9991.0,4,15,3,1,9.0,5,3,7,1,7,0
283,43.0,no,Rarely,Research & Development,70.0,3,Life Sciences,451,3,Female,3,Healthcare Representative,1,9985.0,8,16,3,1,10.0,1,2,1,0,0,0
284,27.0,no,Frequently,Sales,200.0,3,Life Sciences,293,4,Female,3,Sales Executive,3,9981.0,1,14,3,4,7.0,2,3,7,0,7,0
285,29.0,no,Rarely,Research & Development,150.0,4,Life Sciences,20,2,Female,4,Manufacturing Director,1,9980.0,1,11,3,3,10.0,1,3,10,8,8,0
286,36.0,no,Non-Travel,Sales,100.0,4,Medical,592,2,Male,3,Sales Executive,4,9980.0,1,14,3,4,10.0,3,2,10,9,7,0
287,30.0,no,Rarely,Research & Development,200.0,3,Other,1084,3,Male,3,Manufacturing Director,1,9957.0,0,15,3,3,7.0,1,2,6,0,2,0
